order_id,原始门店名,标准门店名,商品,数量,单价,原始金额,数量×单价,金额差异,是否计入有效销售额,核对标记
ORD003165,茶百道-天河店,茶百道-天河店,杨枝甘露,1,25,25,25.0,0.0,是,正常
ORD001270,星巴克咖啡-国贸,星巴克-国贸店,柠檬茶,3,15,45,45.0,0.0,是,正常
ORD006644,瑞幸咖啡-滨江店,瑞幸咖啡-滨江店,摩卡,1,32,32,32.0,0.0,是,正常
ORD007240,茶百道-天河店,茶百道-天河店,提拉米苏,1,32,32,32.0,0.0,是,正常
ORD003691,奈雪的茶-福田店,奈雪的茶-福田店,卡布奇诺,5,28,140,140.0,0.0,是,正常
ORD001143,蜜雪冰城-西湖店,蜜雪冰城-西湖店,芋泥啵啵奶绿,2,22,44,44.0,0.0,是,正常
ORD006576,喜茶-人民广场店,喜茶-人民广场店,芋泥啵啵奶绿,2,22,44,44.0,0.0,是,正常
ORD002571,茶百道-天河店,茶百道-天河店,美式咖啡,1,25,25,25.0,0.0,是,正常
ORD002107,瑞幸咖啡-滨江店,瑞幸咖啡-滨江店,杨枝甘露,2,25,50,50.0,0.0,是,正常
ORD000631,Starbucks 陆家嘴,星巴克-陆家嘴店,杨枝甘露,4,25,100,100.0,0.0,是,正常
ORD007317,星巴克-国贸店,星巴克-国贸店,芝士贝果,2,12,24,24.0,0.0,否,完全重复
ORD002017,瑞幸咖啡-中关村店,瑞幸咖啡-中关村店,柠檬茶,5,15,75,75.0,0.0,否,完全重复
ORD003741,奈雪的茶-福田店,奈雪的茶-福田店,美式咖啡,3,25,75,75.0,0.0,否,完全重复
ORD005483,蜜雪冰城(西湖店),蜜雪冰城-西湖店,芝士贝果,2,12,24,24.0,0.0,否,完全重复
ORD004923,星巴克-国贸店,星巴克-国贸店,芝士贝果,4,12,,48.0,,否,金额缺失(未补零)
ORD006163,奈雪的茶-福田店,奈雪的茶-福田店,提拉米苏,4,32,,128.0,,否,金额缺失(未补零)
ORD003378,星巴克-陆家嘴店,星巴克-陆家嘴店,芋泥啵啵奶绿,2,22,44,44.0,0.0,否,完全重复
ORD003763,喜茶人民广场店,喜茶-人民广场店,提拉米苏,4,32,,128.0,,否,金额缺失(未补零)
ORD004010,蜜雪冰城-西湖店,蜜雪冰城-西湖店,提拉米苏,5,32,160,160.0,0.0,否,完全重复
ORD002565,蜜雪冰城(西湖店),蜜雪冰城-西湖店,柠檬茶,-1,15,-15,-15.0,0.0,否,负数量
