核对类型,order_id,原始门店名,清洗后门店名,映射分组,金额,日期
缺失门店,OD100028,(空),(空),未知/缺失,39.37,2026-07-26
缺失门店,OD100031,(空),(空),未知/缺失,1681.82,2026-07-15
缺失门店,OD100053,(空),(空),未知/缺失,844.74,2026-07-05
缺失门店,OD100063,(空),(空),未知/缺失,1887.4,2026-07-09
缺失门店,OD100070,(空),(空),未知/缺失,1281.34,2026-07-03
缺失门店,OD100081,(空),(空),未知/缺失,1497.74,2026-07-19
缺失门店,OD100108,(空),(空),未知/缺失,1430.38,2026-07-23
缺失门店,OD100131,(空),(空),未知/缺失,1828.17,2026-07-21
缺失门店,OD100138,(空),(空),未知/缺失,1790.23,2026-07-09
缺失门店,OD100142,(空),(空),未知/缺失,269.18,2026-07-10
未识别门店(Others),OD100014,武汉光谷店,武汉光谷店,Others,1024.66,2026-07-13
未识别门店(Others),OD100019,南京新街口店,南京新街口店,Others,1140.59,2026-07-08
未识别门店(Others),OD100079,武汉光谷店,武汉光谷店,Others,1601.72,2026-07-09
未识别门店(Others),OD100121,武汉光谷店,武汉光谷店,Others,1435.26,2026-07-23
未识别门店(Others),OD100132,武汉光谷店,武汉光谷店,Others,794.53,2026-07-08
未识别门店(Others),OD100191,南京新街口店,南京新街口店,Others,612.9,2026-07-26
未识别门店(Others),OD100237,南京新街口店,南京新街口店,Others,1316.03,2026-07-17
未识别门店(Others),OD100263,南京新街口店,南京新街口店,Others,1961.89,2026-07-30
未识别门店(Others),OD100275,南京新街口店,南京新街口店,Others,409.74,2026-07-27
未识别门店(Others),OD100382,武汉光谷店,武汉光谷店,Others,724.89,2026-07-27
金额缺失,OD100000,上海徐汇店,上海徐汇店,上海徐汇店,(空),2026-07-25
金额缺失,OD100004,上海浦东分店,上海浦东分店,上海浦东店,(空),2026-07-12
金额缺失,OD100041,南山分店,南山分店,深圳南山店,(空),2026-07-24
金额缺失,OD100127,浦东店(上海),浦东店上海,上海浦东店,(空),2026-07-27
金额缺失,OD100139,杭州西湖店,杭州西湖店,杭州西湖店,(空),2026-07-09
金额缺失,OD100147,广州天河店,广州天河店,广州天河店,(空),2026-07-06
金额缺失,OD100166,天河店（广州）,天河店广州,广州天河店,(空),2026-07-08
金额缺失,OD100171,北京朝阳分店,北京朝阳分店,北京朝阳店,(空),2026-07-19
金额缺失,OD100181,广州天河店,广州天河店,广州天河店,(空),2026-07-15
金额缺失,OD100189,锦江分店,锦江分店,成都锦江店,(空),2026-07-05
冲突订单,OD100328,海淀分店,海淀分店,北京海淀店,1040.37,2026-07-18
冲突订单,OD100491,杭州西湖店,杭州西湖店,杭州西湖店,(空),2026-07-31
冲突订单,OD100549,深圳南山店,深圳南山店,深圳南山店,725.81,2026-07-30
冲突订单,OD100798,(空),(空),未知/缺失,136.7,2026-07-30
冲突订单,OD100866,海淀分店,海淀分店,北京海淀店,59.52,2026-07-20
冲突订单,OD101290,海淀分店,海淀分店,北京海淀店,1481.28,2026-07-06
冲突订单,OD101801,浦东店(上海),浦东店上海,上海浦东店,1635.39,2026-07-29
冲突订单,OD101849,天河店（广州）,天河店广州,广州天河店,1017.32,2026-07-22
冲突订单,OD102112,海淀分店,海淀分店,北京海淀店,1484.24,2026-07-16
冲突订单,OD102223,北京海淀店,北京海淀店,北京海淀店,812.83,2026-07-05
