日期,渠道,用户状态,活跃用户数,新增用户数,平均转化率,记录数,来源数,来源列表,是否异常,状态标记
2026-08-01,APP,新用户,1712,151,0.2154,1,1,APP,正常,正常
2026-08-01,APP,沉默用户,3078,113,0.2197,1,1,APP,正常,正常
2026-08-01,APP,活跃用户,1060,161,0.0534,1,1,APP,正常,正常
2026-08-01,H5,新用户,3788,433,0.1225,1,1,H5,正常,正常
2026-08-01,H5,沉默用户,1258,569,0.2355,1,1,H5,正常,正常
2026-08-01,H5,活跃用户,2805,434,0.1456,1,1,H5,正常,正常
2026-08-01,小程序,新用户,3557,309,0.0354,1,1,小程序,异常,异常(转化率<5%或>30%)
2026-08-01,小程序,沉默用户,1175,566,0.2233,1,1,小程序,正常,正常
2026-08-01,小程序,活跃用户,3900,261,0.168,1,1,小程序,正常,正常
2026-08-02,APP,新用户,3377,535,0.1939,1,1,APP,正常,正常
2026-08-02,APP,沉默用户,1933,1143,0.1534,1,1,APP,正常,正常
2026-08-02,APP,活跃用户,2820,638,0.2168,1,1,APP,正常,正常
2026-08-02,H5,新用户,4958,507,0.0682,1,1,H5,正常,正常
2026-08-02,H5,沉默用户,1445,275,0.213,1,1,H5,正常,正常
2026-08-02,H5,活跃用户,1716,843,0.2497,1,1,H5,正常,正常
2026-08-02,小程序,新用户,4258,230,0.1262,1,1,小程序,正常,正常
2026-08-02,小程序,沉默用户,826,639,0.273,1,1,小程序,正常,正常
2026-08-02,小程序,活跃用户,1738,1199,0.2177,1,1,小程序,正常,正常
2026-08-03,APP,新用户,7152,1842,0.134,3,2,APP、小程序,正常,正常
2026-08-03,APP,沉默用户,2685,551,0.3194,1,1,APP,异常,异常(转化率<5%或>30%)
2026-08-03,APP,活跃用户,3859,997,0.2549,1,1,APP,正常,正常
2026-08-03,H5,新用户,4475,387,0.1355,1,1,H5,正常,正常
2026-08-03,H5,沉默用户,4743,537,0.2462,1,1,H5,正常,正常
2026-08-03,H5,活跃用户,1602,203,0.3231,1,1,H5,异常,异常(转化率<5%或>30%)
2026-08-03,小程序,新用户,2749,670,0.1972,1,1,小程序,正常,正常
2026-08-03,小程序,沉默用户,1243,301,0.0452,1,1,小程序,异常,异常(转化率<5%或>30%)
2026-08-03,小程序,活跃用户,4134,489,0.0536,1,1,小程序,正常,正常
2026-08-04,APP,新用户,4527,684,0.1358,1,1,APP,正常,正常
2026-08-04,APP,沉默用户,4919,1187,0.336,1,1,APP,异常,异常(转化率<5%或>30%)
2026-08-04,APP,活跃用户,2583,219,0.1748,1,1,APP,正常,正常
2026-08-04,H5,新用户,3827,683,0.0694,1,1,H5,正常,正常
2026-08-04,H5,沉默用户,2525,802,0.0809,1,1,H5,正常,正常
2026-08-04,H5,活跃用户,1648,375,0.0961,1,1,H5,正常,正常
2026-08-04,小程序,新用户,2816,181,0.1848,1,1,小程序,正常,正常
2026-08-04,小程序,沉默用户,1619,250,0.1644,1,1,小程序,正常,正常
2026-08-04,小程序,活跃用户,3373,588,0.0294,1,1,小程序,异常,异常(转化率<5%或>30%)
2026-08-05,APP,新用户,1216,289,0.3567,1,1,APP,异常,异常(转化率<5%或>30%)
2026-08-05,APP,沉默用户,2013,980,0.0619,1,1,APP,正常,正常
2026-08-05,APP,活跃用户,4419,975,0.0384,1,1,APP,异常,异常(转化率<5%或>30%)
2026-08-05,H5,新用户,2664,556,0.0359,1,1,H5,异常,异常(转化率<5%或>30%)
2026-08-05,H5,沉默用户,2939,465,0.3935,1,1,H5,异常,异常(转化率<5%或>30%)
2026-08-05,H5,活跃用户,4973,918,0.1999,1,1,H5,正常,正常
2026-08-05,小程序,新用户,2844,310,0.1184,1,1,小程序,正常,正常
2026-08-05,小程序,沉默用户,1685,883,0.248,1,1,小程序,正常,正常
2026-08-05,小程序,活跃用户,2250,944,0.0362,1,1,小程序,异常,异常(转化率<5%或>30%)
2026-08-06,APP,新用户,4989,336,0.1263,1,1,APP,正常,正常
2026-08-06,APP,沉默用户,3260,1138,0.1073,1,1,APP,正常,正常
2026-08-06,APP,活跃用户,2414,845,0.1378,1,1,APP,正常,正常
2026-08-06,H5,新用户,2431,401,0.0361,1,1,H5,异常,异常(转化率<5%或>30%)
2026-08-06,H5,沉默用户,2592,460,0.231,1,1,H5,正常,正常
2026-08-06,H5,活跃用户,2392,886,0.1536,1,1,H5,正常,正常
2026-08-06,小程序,新用户,3905,456,0.1839,1,1,小程序,正常,正常
2026-08-06,小程序,沉默用户,3124,1155,0.4433,1,1,小程序,异常,异常(转化率<5%或>30%)
2026-08-06,小程序,活跃用户,4321,759,0.1462,1,1,小程序,正常,正常
2026-08-07,APP,新用户,4606,1187,0.277,1,1,APP,正常,正常
2026-08-07,APP,沉默用户,4769,589,0.0186,1,1,APP,异常,异常(转化率<5%或>30%)
2026-08-07,APP,活跃用户,4452,425,0.2159,1,1,APP,正常,正常
2026-08-07,H5,新用户,3035,992,0.1514,1,1,H5,正常,正常
2026-08-07,H5,沉默用户,1911,1045,0.0754,1,1,H5,正常,正常
2026-08-07,H5,活跃用户,1845,1193,0.0367,1,1,H5,异常,异常(转化率<5%或>30%)
2026-08-07,小程序,新用户,2694,884,0.3671,1,1,小程序,异常,异常(转化率<5%或>30%)
2026-08-07,小程序,沉默用户,3681,711,0.2184,1,1,小程序,正常,正常
2026-08-07,小程序,活跃用户,4241,897,0.2562,1,1,小程序,正常,正常
