order_id,store_raw,store_standard,store_status,amount,qty,amount_status,qty_status,row_flag
A001,北京朝阳店,北京朝阳店,OK,199.5,2,OK,OK,OK
A002,朝阳店,北京朝阳店,OK,88.0,1,OK,OK,OK
A003,北京朝阳分店,北京朝阳店,OK,1250.0,3,OK,OK,OK
A004,朝陽旗艦店,朝陽旗艦店,NEEDS_REVIEW,45.5,1,OK,OK,OK
A005,海淀店,北京海淀店,OK,,2,MISSING,OK,OK
A006,北京海淀店,北京海淀店,OK,,1,INVALID,OK,OK
A007,上海浦东店,上海浦东店,OK,300.0,,OK,MISSING,OK
A008,浦東店,上海浦东店,OK,199.0,4,OK,OK,OK
A009,上海徐汇店,上海徐汇店,OK,59.9,1,OK,OK,OK
A010,杭州西湖店,杭州西湖店,OK,899.0,1,OK,OK,OK
A011,西湖旗舰店,杭州西湖店,OK,1299.0,2,OK,OK,OK
A012,广州天河店,广州天河店,OK,49.9,3,OK,OK,OK
A013,天河店,广州天河店,OK,79.0,2,OK,OK,OK
A014,,,UNKNOWN_NULL,150.0,1,OK,OK,OK
A017,深圳南山店,深圳南山店,NEEDS_REVIEW,300.0,1,OK,OK,OK
A018,南山店,南山店,NEEDS_REVIEW,250.0,1,OK,OK,OK
A019,成都春熙路店,成都春熙路店,NEEDS_REVIEW,99.0,1,OK,OK,OK
A020,北京朝阳店,北京朝阳店,OK,500.0,,OK,MISSING,OK
A021,海淀店,北京海淀店,OK,320.0,2,OK,OK,OK
A022,上海徐汇店,上海徐汇店,OK,,,MISSING,MISSING,OK
,未知门店,未知门店,NEEDS_REVIEW,100.0,1,OK,OK,MISSING_ORDER_ID
A023,北京海淀店,北京海淀店,OK,450.0,3,OK,OK,OK
A024,上海浦东店,上海浦东店,OK,680.0,2,OK,OK,OK
