pathway_id,pathway_name,n_input_in_pathway,pathway_size,n_input_total,background_size,enrichment_factor,odds_ratio,p_value,hit_uniprot_accs,fdr_bh
hsa04650,Natural killer cell mediated cytotoxicity - Homo sapiens (human),11,133,14,9422,55.6617,279.0874,1.024e-18,O43561;O95644;P04049;P06239;P15498;P19174;P28482;P43403;P62993;P63000;Q07889,1.577e-16
hsa04660,T cell receptor signaling pathway - Homo sapiens (human),10,122,14,9422,55.1639,207.5,8.735e-17,O43561;O95644;P04049;P06239;P15498;P19174;P28482;P43403;P62993;Q07889,6.726e-15
hsa04664,Fc epsilon RI signaling pathway - Homo sapiens (human),8,69,14,9422,78.029,204.306,1.579e-14,O43561;P04049;P15498;P19174;P28482;P62993;P63000;Q07889,8.107e-13
hsa05135,Yersinia infection - Homo sapiens (human),9,138,14,9422,43.8913,129.4744,4.489e-14,O43561;O95644;P06239;P12931;P15498;P19174;P28482;P43403;P63000,1.728e-12
hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human),7,90,14,9422,52.3444,112.3494,1.861e-11,O43561;O95644;P04049;P06239;P19174;P28482;P43403,5.172e-10
hsa04662,B cell receptor signaling pathway - Homo sapiens (human),7,91,14,9422,51.7692,111.0,2.015e-11,O95644;P04049;P15498;P28482;P62993;P63000;Q07889,5.172e-10
hsa04062,Chemokine signaling pathway - Homo sapiens (human),8,193,14,9422,27.8964,66.4721,7.251e-11,P04049;P12931;P15498;P19174;P28482;P62993;P63000;Q07889,1.595e-09
hsa05205,Proteoglycans in cancer - Homo sapiens (human),8,204,14,9422,26.3922,62.6667,1.132e-10,P04049;P12931;P15498;P19174;P28482;P62993;P63000;Q07889,2.179e-09
hsa04014,Ras signaling pathway - Homo sapiens (human),8,239,14,9422,22.5272,52.9697,4.018e-10,O43561;P04049;P19174;P28482;P43403;P62993;P63000;Q07889,6.876e-09
hsa01521,EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human),6,80,14,9422,50.475,94.6014,8.812e-10,P04049;P12931;P19174;P28482;P62993;Q07889,1.357e-08
hsa04012,ErbB signaling pathway - Homo sapiens (human),6,86,14,9422,46.9535,87.45,1.373e-09,P04049;P12931;P19174;P28482;P62993;Q07889,1.922e-08
hsa04658,Th1 and Th2 cell differentiation - Homo sapiens (human),6,93,14,9422,43.4194,80.3534,2.214e-09,O43561;O95644;P06239;P19174;P28482;P43403,2.841e-08
hsa04666,Fc gamma R-mediated phagosome formation - Homo sapiens (human),6,98,14,9422,41.2041,75.9457,3.046e-09,O43561;P04049;P15498;P19174;P28482;P63000,3.565e-08
hsa05231,Choline metabolism in cancer - Homo sapiens (human),6,99,14,9422,40.7879,75.121,3.241e-09,P04049;P19174;P28482;P62993;P63000;Q07889,3.565e-08
hsa04659,Th17 cell differentiation - Homo sapiens (human),6,109,14,9422,37.0459,67.7549,5.813e-09,O43561;O95644;P06239;P19174;P28482;P43403,5.651e-08
hsa04510,Focal adhesion - Homo sapiens (human),7,203,14,9422,23.2069,47.0,5.871e-09,P04049;P12931;P15498;P28482;P62993;P63000;Q07889,5.651e-08
hsa04015,Rap1 signaling pathway - Homo sapiens (human),7,212,14,9422,22.2217,44.8927,7.943e-09,O43561;P04049;P12931;P15498;P19174;P28482;P63000,7.195e-08
hsa04722,Neurotrophin signaling pathway - Homo sapiens (human),6,120,14,9422,33.65,61.1447,1.040e-08,P04049;P19174;P28482;P62993;P63000;Q07889,8.899e-08
hsa05163,Human cytomegalovirus infection - Homo sapiens (human),7,227,14,9422,20.7533,41.7636,1.278e-08,O95644;P04049;P12931;P28482;P62993;P63000;Q07889,1.035e-07
hsa04370,VEGF signaling pathway - Homo sapiens (human),5,60,14,9422,56.0833,94.4747,1.693e-08,P04049;P12931;P19174;P28482;P63000,1.304e-07
hsa05211,Renal cell carcinoma - Homo sapiens (human),5,70,14,9422,48.0714,79.8547,3.722e-08,P04049;P28482;P62993;P63000;Q07889,2.729e-07
hsa04917,Prolactin signaling pathway - Homo sapiens (human),5,71,14,9422,47.3944,78.6364,4.000e-08,P04049;P12931;P28482;P62993;Q07889,2.800e-07
hsa05223,Non-small cell lung cancer - Homo sapiens (human),5,73,14,9422,46.0959,76.3072,4.608e-08,P04049;P19174;P28482;P62993;Q07889,3.085e-07
hsa05214,Glioma - Homo sapiens (human),5,76,14,9422,44.2763,73.0595,5.654e-08,P04049;P19174;P28482;P62993;Q07889,3.628e-07
