日期,渠道,用户状态,项目名称,会话时长,来源表,提取数值
2026-07-03,邮件营销,流失用户,详情页,112.8s,行为明细,112.8
2026-07-03,社交媒体,新用户,首页浏览,26.8s,行为明细,26.8
2026-07-21,邮件营销,流失用户,下单流程,65.9s,行为明细,65.9
2026-07-24,未知渠道,流失用户,搜索功能,114.9s,行为明细,114.9
2026-07-22,社交媒体,活跃用户,个人中心,92.5s,行为明细,92.5
2026-07-25,邮件营销,活跃用户,下单流程,58.6s,行为明细,58.6
2026-07-20,付费广告,新用户,个人中心,59.8s,行为明细,59.8
2026-07-19,邮件营销,回流用户,首页浏览,96.8s,行为明细,96.8
2026-07-14,自然流量,流失用户,首页浏览,90.2s,行为明细,90.2
2026-07-26,社交媒体,活跃用户,个人中心,46.6s,行为明细,46.6
2026-07-13,自然流量,流失用户,详情页,37.4s,行为明细,37.4
2026-07-16,社交媒体,回流用户,详情页,97.5s,行为明细,97.5
2026-07-22,邮件营销,活跃用户,个人中心,  72.4s  ,行为明细,72.4
2026-07-26,付费广告,新用户,下单流程,78.0s,行为明细,78.0
2026-07-24,自然流量,回流用户,首页浏览,81.6s,行为明细,81.6
2026-07-22,未知渠道,活跃用户,下单流程,53.3s,行为明细,53.3
2026-07-16,付费广告,流失用户,详情页,55.0s,行为明细,55.0
2026-07-07,自然流量,活跃用户,下单流程,131.3s,行为明细,131.3
2026-07-24,社交媒体,新用户,下单流程,74.7s,行为明细,74.7
2026-07-16,社交媒体,新用户,详情页,116.2s,行为明细,116.2
2026-07-08,付费广告,回流用户,个人中心,30.2s,行为明细,30.2
2026-07-24,自然流量,回流用户,搜索功能,73.7s,行为明细,73.7
2026-07-13,社交媒体,新用户,详情页,74.5s,行为明细,74.5
2026-07-28,社交媒体,活跃用户,详情页,91.8s,行为明细,91.8
2026-07-09,自然流量,活跃用户,首页浏览,51.0s,行为明细,51.0
2026-07-22,社交媒体,流失用户,详情页,48.0s,行为明细,48.0
2026-07-26,社交媒体,回流用户,首页浏览,91.2s,行为明细,91.2
2026-07-14,付费广告,新用户,搜索功能,49.6s,行为明细,49.6
2026-07-20,社交媒体,流失用户,搜索功能,  24.2s  ,行为明细,24.2
2026-07-10,自然流量,活跃用户,个人中心,88.2s,行为明细,88.2
2026-07-08,邮件营销,活跃用户,下单流程,34.7s,行为明细,34.7
2026-07-21,付费广告,新用户,首页浏览,52.6s,行为明细,52.6
2026-07-04,付费广告,流失用户,搜索功能,90.4s,行为明细,90.4
2026-07-23,社交媒体,流失用户,首页浏览,24.2s,行为明细,24.2
2026-07-01,邮件营销,活跃用户,下单流程,78.5s,行为明细,78.5
2026-07-09,社交媒体,新用户,详情页,56.4s,行为明细,56.4
2026-07-18,未知渠道,回流用户,详情页,77.8s,行为明细,77.8
2026-07-06,付费广告,新用户,搜索功能,85.6s,行为明细,85.6
2026-07-19,自然流量,新用户,详情页,42.6s,行为明细,42.6
2026-07-09,邮件营销,回流用户,详情页,25.4s,行为明细,25.4
2026-07-18,社交媒体,活跃用户,首页浏览,23.8s,行为明细,23.8
2026-07-12,付费广告,活跃用户,下单流程,119.9s,行为明细,119.9
2026-07-08,付费广告,流失用户,详情页,89.1s,行为明细,89.1
2026-07-05,社交媒体,流失用户,详情页,80.4s,行为明细,80.4
2026-07-27,付费广告,流失用户,详情页,43.4s,行为明细,43.4
2026-07-08,自然流量,活跃用户,个人中心,74.4s,行为明细,74.4
2026-07-16,自然流量,活跃用户,详情页,20.7s,行为明细,20.7
2026-07-19,社交媒体,新用户,搜索功能,81.2s,行为明细,81.2
2026-07-21,社交媒体,回流用户,下单流程,132.7s,行为明细,132.7
2026-07-18,邮件营销,回流用户,搜索功能,33.9s,行为明细,33.9
2026-07-04,社交媒体,流失用户,搜索功能,37.5s,行为明细,37.5
2026-07-18,付费广告,流失用户,详情页,64.8s,行为明细,64.8
2026-07-28,邮件营销,新用户,首页浏览,48.5s,行为明细,48.5
2026-07-09,付费广告,回流用户,个人中心,75.2s,行为明细,75.2
2026-07-03,社交媒体,回流用户,个人中心,61.4s,行为明细,61.4
2026-07-04,社交媒体,活跃用户,搜索功能,77.8s,行为明细,77.8
2026-07-10,社交媒体,活跃用户,搜索功能,90.0s,行为明细,90.0
2026-07-21,社交媒体,活跃用户,搜索功能,28.3s,行为明细,28.3
2026-07-27,自然流量,新用户,首页浏览,222.9s,行为明细,222.9
2026-07-25,自然流量,流失用户,首页浏览,185.5s,行为明细,185.5
2026-07-21,邮件营销,新用户,首页浏览,35.6s,行为明细,35.6
2026-07-28,付费广告,新用户,详情页,97.2s,行为明细,97.2
2026-07-09,邮件营销,流失用户,搜索功能,41.0s,行为明细,41.0
2026-07-14,自然流量,流失用户,详情页,75.5s,行为明细,75.5
2026-07-24,自然流量,流失用户,首页浏览,78.2s,行为明细,78.2
2026-07-01,邮件营销,新用户,详情页,36.7s,行为明细,36.7
2026-07-21,邮件营销,活跃用户,详情页,44.1s,行为明细,44.1
2026-07-24,自然流量,流失用户,首页浏览,40.0s,行为明细,40.0
2026-07-08,邮件营销,活跃用户,搜索功能,59.5s,行为明细,59.5
2026-07-22,社交媒体,回流用户,个人中心,313.5s,行为明细,313.5
2026-07-09,付费广告,新用户,搜索功能,146.5s,行为明细,146.5
2026-07-04,社交媒体,回流用户,个人中心,23.9s,行为明细,23.9
2026-07-15,自然流量,活跃用户,搜索功能,30.9s,行为明细,30.9
2026-07-24,邮件营销,回流用户,首页浏览,29.4s,行为明细,29.4
2026-07-14,社交媒体,活跃用户,首页浏览,223.7s,行为明细,223.7
2026-07-09,付费广告,回流用户,首页浏览,114.9s,行为明细,114.9
2026-07-17,自然流量,新用户,搜索功能,60.7s,行为明细,60.7
2026-07-13,自然流量,流失用户,首页浏览,55.3s,行为明细,55.3
2026-07-06,自然流量,回流用户,首页浏览,92.8s,行为明细,92.8
2026-07-13,邮件营销,回流用户,搜索功能,128.0s,行为明细,128.0
2026-07-16,未知渠道,活跃用户,首页浏览,518.7s,补充明细,518.7
2026-07-07,自然流量,流失用户,详情页,74.3s,补充明细,74.3
2026-07-08,自然流量,新用户,搜索功能,67.3s,补充明细,67.3
2026-07-26,自然流量,新用户,个人中心,67.4s,补充明细,67.4
2026-07-12,邮件营销,流失用户,首页浏览,114.7s,补充明细,114.7
2026-07-23,邮件营销,新用户,个人中心,37.4s,补充明细,37.4
