post_id,content_type,topic,opening_hook,weekday_cn,hour,time_slot,reach,impressions,likes,comments,shares,saves,clicks,engagements,engagement_rate,ctr,like_rate,comment_rate,share_rate,save_rate,virality_rate
p001,reel,热点观点,反常识悬念式,周四,20,prime,38500,57121,805,85,500,92,120,1482,3.85,0.21,2.09,0.22,1.3,0.24,0.88
p002,carousel,教程干货,数字清单式,周五,12,good,4617,6778,85,12,7,166,15,270,5.85,0.22,1.84,0.26,0.15,3.6,0.1
p003,image,思维模型,直接利益式,周六,9,bad,1467,2470,41,2,1,7,7,51,3.48,0.28,2.79,0.14,0.07,0.48,0.04
p004,image,工具测评,痛点共鸣式,周日,8,bad,1180,1852,28,2,1,6,8,37,3.14,0.43,2.37,0.17,0.08,0.51,0.05
p005,video,职场故事,故事场景式,周一,13,good,4756,7928,133,16,21,17,13,187,3.93,0.16,2.8,0.34,0.44,0.36,0.26
p006,reel,教程干货,反常识悬念式,周二,19,prime,9838,14306,271,20,103,124,36,518,5.27,0.25,2.75,0.2,1.05,1.26,0.72
p007,carousel,思维模型,数字清单式,周三,12,prime,5874,9903,105,18,10,101,18,234,3.98,0.18,1.79,0.31,0.17,1.72,0.1
p008,video,热点观点,提问式,周四,21,prime,7559,11141,186,35,28,16,22,265,3.51,0.2,2.46,0.46,0.37,0.21,0.25
p009,carousel,工具测评,直接利益式,周五,14,mid,3193,5514,66,6,5,67,22,144,4.51,0.4,2.07,0.19,0.16,2.1,0.09
p010,reel,互动问答,提问式,周六,11,weak,3267,5010,55,22,14,15,14,106,3.24,0.28,1.68,0.67,0.43,0.46,0.28
p011,video,职场故事,故事场景式,周日,20,good,4721,7334,111,12,26,27,12,176,3.73,0.16,2.35,0.25,0.55,0.57,0.35
p012,image,教程干货,痛点共鸣式,周一,12,good,5359,8406,136,12,7,36,17,191,3.56,0.2,2.54,0.22,0.13,0.67,0.08
p013,carousel,互动问答,提问式,周二,19,prime,4674,7070,85,51,8,40,17,184,3.94,0.24,1.82,1.09,0.17,0.86,0.11
p014,reel,思维模型,反常识悬念式,周三,13,prime,7930,12708,187,20,75,49,25,331,4.17,0.2,2.36,0.25,0.95,0.62,0.59
p015,image,热点观点,直接利益式,周四,7,weak,3364,5819,86,4,5,6,15,101,3.0,0.26,2.56,0.12,0.15,0.18,0.09
p016,video,工具测评,数字清单式,周五,20,good,5403,8403,115,12,12,58,30,197,3.65,0.36,2.13,0.22,0.22,1.07,0.14
p017,carousel,教程干货,故事场景式,周六,15,weak,3965,6106,85,14,12,89,11,200,5.04,0.18,2.14,0.35,0.3,2.24,0.2
p018,image,互动问答,痛点共鸣式,周日,10,bad,1657,2415,37,6,2,5,6,50,3.02,0.25,2.23,0.36,0.12,0.3,0.08
p019,reel,职场故事,反常识悬念式,周一,12,good,7333,11288,181,18,92,43,26,334,4.55,0.23,2.47,0.25,1.25,0.59,0.82
p020,carousel,思维模型,数字清单式,周二,19,prime,4119,6022,91,13,11,63,15,178,4.32,0.25,2.21,0.32,0.27,1.53,0.18
p021,video,教程干货,直接利益式,周三,14,mid,4801,7620,107,6,13,57,21,183,3.81,0.28,2.23,0.12,0.27,1.19,0.17
p022,reel,热点观点,故事场景式,周四,21,prime,7765,13318,183,18,81,20,26,302,3.89,0.2,2.36,0.23,1.04,0.26,0.61
p023,image,工具测评,痛点共鸣式,周五,12,good,5000,7904,146,12,6,23,28,187,3.74,0.35,2.92,0.24,0.12,0.46,0.08
p024,carousel,职场故事,提问式,周六,18,weak,3498,5226,65,23,8,29,9,125,3.57,0.17,1.86,0.66,0.23,0.83,0.15
p025,video,思维模型,直接利益式,周日,9,bad,1889,2930,44,3,6,15,10,68,3.6,0.34,2.33,0.16,0.32,0.79,0.2
p026,reel,教程干货,反常识悬念式,周一,20,good,8314,12150,197,15,69,90,32,371,4.46,0.26,2.37,0.18,0.83,1.08,0.57
p027,carousel,热点观点,数字清单式,周二,13,prime,6073,9191,131,23,23,39,17,216,3.56,0.18,2.16,0.38,0.38,0.64,0.25
p028,video,互动问答,提问式,周三,19,prime,4699,8083,95,29,16,19,18,159,3.38,0.22,2.02,0.62,0.34,0.4,0.2
p029,image,思维模型,故事场景式,周四,12,prime,5137,8363,148,9,8,25,16,190,3.7,0.19,2.88,0.18,0.16,0.49,0.1
p030,carousel,工具测评,直接利益式,周五,15,mid,3685,5938,77,9,5,85,35,176,4.78,0.59,2.09,0.24,0.14,2.31,0.08
