store_raw,cnt,标准门店名
上海 浦东店,126226,上海浦东店
上海市浦东店,125981,上海浦东店
上海浦东分店,126120,上海浦东店
上海浦东店,125772,上海浦东店
浦东店(上海),125734,上海浦东店
北京 朝阳店,126192,北京朝阳店
北京市朝阳店,125209,北京朝阳店
北京朝阳店,126774,北京朝阳店
北京朝阳门店,125736,北京朝阳店
朝阳店(北京),126430,北京朝阳店
天河店(广州),126265,广州天河店
广州 天河店,126340,广州天河店
广州天河店,126267,广州天河店
广州天河门店,126119,广州天河店
广州市天河店,126123,广州天河店
杭州 西湖店,125462,杭州西湖店
杭州市西湖店,125890,杭州西湖店
杭州西湖店,126106,杭州西湖店
杭州西湖门店,124933,杭州西湖店
西湖店(杭州),125919,杭州西湖店
南山店(深圳),125753,深圳南山店
深圳 南山店,125859,深圳南山店
深圳南山分店,126195,深圳南山店
深圳南山店,126551,深圳南山店
深圳市南山店,125952,深圳南山店
