store_canonical,store_name,行数
喜茶-人民广场店,喜茶-人民广场店,707
喜茶-人民广场店,HEYTEA 人民广场,102
喜茶-人民广场店,喜茶人民广场店,99
喜茶-人民广场店,喜茶(人民广场店),93
奈雪的茶-福田店,奈雪的茶-福田店,730
奈雪的茶-福田店,奈雪的茶(福田店),102
奈雪的茶-福田店,奈雪茶 福田,100
奈雪的茶-福田店,奈雪 福田店,97
星巴克-国贸店,星巴克-国贸店,726
星巴克-国贸店,星巴克咖啡-国贸,100
星巴克-国贸店,星巴克(国贸店),79
星巴克-国贸店,星巴克 国贸,78
星巴克-国贸店,Starbucks 国贸店,77
星巴克-陆家嘴店,星巴克-陆家嘴店,708
星巴克-陆家嘴店,Starbucks 陆家嘴,126
星巴克-陆家嘴店,星巴克(陆家嘴店),91
星巴克-陆家嘴店,星巴克咖啡-陆家嘴,89
瑞幸咖啡-中关村店,瑞幸咖啡-中关村店,696
瑞幸咖啡-中关村店,luckin coffee 中关村,105
瑞幸咖啡-中关村店,瑞幸咖啡(中关村店),100
瑞幸咖啡-中关村店,瑞幸-中关村店,78
瑞幸咖啡-滨江店,瑞幸咖啡-滨江店,743
瑞幸咖啡-滨江店,瑞幸咖啡 滨江,118
瑞幸咖啡-滨江店,瑞幸(滨江店),103
瑞幸咖啡-滨江店,luckin 滨江店,97
茶百道-天河店,茶百道-天河店,693
茶百道-天河店,茶百道天河北路店,104
茶百道-天河店,茶百道(天河店),98
茶百道-天河店,茶百道 天河,95
蜜雪冰城-西湖店,蜜雪冰城-西湖店,712
蜜雪冰城-西湖店,MXBC 西湖,111
蜜雪冰城-西湖店,蜜雪冰城(西湖店),106
蜜雪冰城-西湖店,蜜雪 西湖店,97
