uniprot_acc,format_ok,gene_names,organism,species_human_9606,status,note
P43403,True,ZAP70 SRK,Homo sapiens (Human),True,通过,
P06239,True,LCK,Homo sapiens (Human),True,通过,
O43561,True,LAT,Homo sapiens (Human),True,通过,
P19174,True,PLCG1 PLC1,Homo sapiens (Human),True,通过,
P15498,True,VAV1 VAV,Homo sapiens (Human),True,通过,
P62993,True,GRB2 ASH,Homo sapiens (Human),True,通过,
Q07889,True,SOS1,Homo sapiens (Human),True,通过,
P04049,True,RAF1 RAF,Homo sapiens (Human),True,通过,
P28482,True,MAPK1 ERK2 PRKM1 PRKM2,Homo sapiens (Human),True,通过,
O95644,True,NFATC1 NFAT2 NFATC,Homo sapiens (Human),True,通过,
P63000,True,RAC1 TC25 MIG5,Homo sapiens (Human),True,通过,
P12931,True,SRC SRC1,Homo sapiens (Human),True,通过,
P02768,True,ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341,Homo sapiens (Human),True,通过,
P68871,True,HBB,Homo sapiens (Human),True,通过,
